Date,ContractCode,Item,TradingVolume(Long),TradingValue(Long)(Thousands),TradingVolume(Short),TradingValue(Short)(Thousands),TradingVolume(Net),TradingValue(Net)(Thousands),OpenInterest(Long),ContractValueofOpenInterest(Long)(Thousands),OpenInterest(Short),ContractValueofOpenInterest(Short)(Thousands),OpenInterest(Net),ContractValueofOpenInterest(Net)(Thousands),download_timestamp,process_timestamp
20260714,富櫃200期貨,外資及陸資,41,37425,36,32967,5,4458,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,富櫃200期貨,投信,10,9165,10,9134,0,32,29,26590,0,0,29,26590,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,富櫃200期貨,自營商,56,51424,60,54971,-4,-3547,16,14805,33,30342,-17,-15537,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型臺指期貨,外資及陸資,184440,414786307,186373,419154483,-1933,-4368176,7667,17199363,2629,5928783,5038,11270580,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型臺指期貨,投信,198,445587,201,451761,-3,-6174,135,304729,87,196381,48,108348,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型臺指期貨,自營商,15178,34158567,17751,40001979,-2573,-5843413,2533,5707743,14507,32736835,-11974,-27029092,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型金融期貨,外資及陸資,199,153110,195,150088,4,3022,5,3844,10,7688,-5,-3844,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型金融期貨,自營商,58,44713,68,52266,-10,-7553,20,15364,58,44561,-38,-29197,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型電子期貨,外資及陸資,415,593884,436,623807,-21,-29923,17,24811,87,126243,-70,-101432,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型電子期貨,投信,55,79233,49,69582,6,9651,77,112618,0,0,77,112618,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,小型電子期貨,自營商,336,481324,289,414041,47,67283,270,387781,254,365829,16,21952,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,微型臺指期貨,外資及陸資,234913,105841523,238009,107246758,-3096,-1405236,10565,4733200,3271,1466380,7294,3266820,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,微型臺指期貨,自營商,32443,14635043,45608,20563244,-13165,-5928201,7747,3494015,64251,28966680,-56504,-25472665,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,東證期貨,外資及陸資,39,31452,13,10514,26,20938,12,9651,17,13690,-5,-4039,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,東證期貨,自營商,18,14540,53,42740,-35,-28200,0,0,112,90171,-112,-90171,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,櫃買指數期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,美國標普500期貨,外資及陸資,0,0,1,1523,-1,-1523,26,39361,47,71223,-21,-31862,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,美國標普500期貨,自營商,0,0,0,0,0,0,0,0,47,71153,-47,-71153,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,美國費城半導體期貨,外資及陸資,30,30561,20,20218,10,10342,310,310012,192,192000,118,118012,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
20260714,美國費城半導體期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-15 17:29:46 CST,2026-07-15 17:29:46 CST
